train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch,test_loss,test_acc
1.4324427843093872,0,49,,,,,
0.6998074054718018,0,99,,,,,
0.526555597782135,0,149,,,,,
0.8043527007102966,0,199,,,,,
0.3933754563331604,0,249,,,,,
0.3492480516433716,0,299,,,,,
0.47743675112724304,0,349,,,,,
0.547048807144165,0,399,,,,,
0.35460343956947327,0,449,,,,,
0.31349247694015503,0,499,,,,,
0.3062971234321594,0,549,,,,,
0.3012050688266754,0,599,,,,,
0.27627888321876526,0,649,,,,,
0.32100266218185425,0,699,,,,,
0.27049142122268677,0,749,,,,,
0.4634492099285126,0,799,,,,,
0.41732028126716614,0,849,,,,,
,0,859,0.1292051523923874,0.9613999724388123,,,
,0,859,,,0.5590106248855591,,
0.1917147934436798,1,899,,,,,
0.33356642723083496,1,949,,,,,
0.3620096445083618,1,999,,,,,
0.23769520223140717,1,1049,,,,,
0.19087916612625122,1,1099,,,,,
0.1947876662015915,1,1149,,,,,
0.33377766609191895,1,1199,,,,,
0.203739732503891,1,1249,,,,,
0.28122276067733765,1,1299,,,,,
0.2113000750541687,1,1349,,,,,
0.46814751625061035,1,1399,,,,,
0.2989424765110016,1,1449,,,,,
0.19807440042495728,1,1499,,,,,
0.23426410555839539,1,1549,,,,,
0.3462752401828766,1,1599,,,,,
0.22223058342933655,1,1649,,,,,
0.12717097997665405,1,1699,,,,,
,1,1719,0.08505908399820328,0.9769999980926514,,,
,1,1719,,,0.24547286331653595,,
0.13610149919986725,2,1749,,,,,
0.3472718596458435,2,1799,,,,,
0.36022666096687317,2,1849,,,,,
0.1929265856742859,2,1899,,,,,
0.18236172199249268,2,1949,,,,,
0.17530810832977295,2,1999,,,,,
0.19129815697669983,2,2049,,,,,
0.16941823065280914,2,2099,,,,,
0.21944935619831085,2,2149,,,,,
0.26563388109207153,2,2199,,,,,
0.1716936230659485,2,2249,,,,,
0.3555711507797241,2,2299,,,,,
0.2970040440559387,2,2349,,,,,
0.14088623225688934,2,2399,,,,,
0.12852196395397186,2,2449,,,,,
0.09240665286779404,2,2499,,,,,
0.16107676923274994,2,2549,,,,,
,2,2579,0.07290356606245041,0.9775999784469604,,,
,2,2579,,,0.20116235315799713,,
0.2990376353263855,3,2599,,,,,
0.266956090927124,3,2649,,,,,
0.10398155450820923,3,2699,,,,,
0.17392970621585846,3,2749,,,,,
0.12223295122385025,3,2799,,,,,
0.17069771885871887,3,2849,,,,,
0.1408899575471878,3,2899,,,,,
0.1485009789466858,3,2949,,,,,
0.26549866795539856,3,2999,,,,,
0.21423554420471191,3,3049,,,,,
0.2189602255821228,3,3099,,,,,
0.18496423959732056,3,3149,,,,,
0.22899536788463593,3,3199,,,,,
0.08108317106962204,3,3249,,,,,
0.19720034301280975,3,3299,,,,,
0.34584712982177734,3,3349,,,,,
0.04345084726810455,3,3399,,,,,
,3,3439,0.06622382253408432,0.9815999865531921,,,
,3,3439,,,0.1785305291414261,,
0.11569389700889587,4,3449,,,,,
0.1991608589887619,4,3499,,,,,
0.16063478589057922,4,3549,,,,,
0.08543974906206131,4,3599,,,,,
0.488515168428421,4,3649,,,,,
0.1214999184012413,4,3699,,,,,
0.07273777574300766,4,3749,,,,,
0.07712044566869736,4,3799,,,,,
0.21788261830806732,4,3849,,,,,
0.2894267141819,4,3899,,,,,
0.4029821753501892,4,3949,,,,,
0.15530180931091309,4,3999,,,,,
0.1680331826210022,4,4049,,,,,
0.20160162448883057,4,4099,,,,,
0.1688968688249588,4,4149,,,,,
0.16499048471450806,4,4199,,,,,
0.114899180829525,4,4249,,,,,
0.1902727335691452,4,4299,,,,,
,4,4299,0.06332720816135406,0.982200026512146,,,
,4,4299,,,0.16258230805397034,,
,5,4300,,,,0.04852030426263809,0.9850999712944031
